Run, Total, Start, End, Time
0, 10, 1760278299.75634, 1760278302.7092092, 2.952869176864624
1, 10, 1760278302.7092328, 1760278305.0981498, 2.3889169692993164
2, 10, 1760278305.098171, 1760278307.421175, 2.3230040073394775
3, 10, 1760278307.421199, 1760278309.65664, 2.235440969467163
4, 10, 1760278309.656661, 1760278311.884419, 2.2277579307556152
5, 10, 1760278311.8844469, 1760278314.1545029, 2.2700560092926025
6, 10, 1760278314.154525, 1760278316.393445, 2.238919973373413
7, 10, 1760278316.393473, 1760278318.6254919, 2.2320189476013184
8, 10, 1760278318.625516, 1760278320.8635252, 2.238009214401245
9, 10, 1760278320.8635468, 1760278323.0586061, 2.195059299468994
Verification failed
Errors:
Postcondition of __eq__ might not hold. Assertion @Puredef __eq__(self, other: object) -> bool:    Requires(state_pred(self))    Requires(Implies((not Stateless(other)), state_pred(other)))    return False might not hold. (basic_equality_1F.py@12.4--15.20)
Postcondition of __eq__ might not hold. Assertion @Puredef __eq__(self, other: object) -> bool:    Requires(state_pred(self))    Requires(Implies((not Stateless(other)), state_pred(other)))    return True might not hold. (basic_equality_1F.py@22.4--25.19)
Postcondition of __eq__ might not hold. Assertion @Puredef __eq__(self, other: object) -> bool:    Requires(state_pred(self))    Requires(Implies((not Stateless(other)), state_pred(other)))    Ensures(Implies((type(other) == E), Result()))    if (type(other) == E):        return True    return False might not hold. (basic_equality_1F.py@32.4--40.20)

2.3302052497863768
